,acchr,dayofweek
0,14,6
1,8,4
2,17,1
3,16,1
4,15,7
5,22,4
6,22,4
7,17,1
8,7,2
9,11,5
10,18,7
11,12,2
12,16,5
13,17,4
14,18,7
15,18,7
16,1,4
17,18,3
18,10,4
19,10,7
20,22,6
21,11,6
22,13,1
23,15,1
24,6,2
25,9,1
26,0,4
27,10,7
28,14,7
29,16,2
30,18,7
31,10,1
32,4,1
33,12,3
34,11,4
35,7,5
36,15,2
37,18,3
38,18,3
39,13,7
40,14,6
41,17,2
42,17,2
43,17,7
44,9,7
45,22,1
46,0,4
47,12,7
48,11,6
49,8,6
50,20,2
51,12,7
52,14,7
53,12,4
54,11,7
55,19,3
56,16,5
57,12,2
58,9,6
59,18,3
60,17,1
61,8,2
62,7,4
63,1,7
64,22,4
65,20,4
66,18,4
67,16,6
68,23,6
69,13,6
70,13,6
71,17,2
72,18,3
73,12,4
74,13,2
75,15,1
76,8,3
77,15,3
78,19,7
79,13,3
80,1,4
81,15,6
82,15,6
83,7,5
84,5,3
85,20,3
86,7,2
87,19,6
88,19,2
89,22,1
90,20,6
91,19,7
92,12,1
93,17,3
94,9,2
95,4,5
96,17,6
97,16,7
98,20,3
99,0,1
100,18,7
101,10,5
102,19,7
103,17,3
104,21,5
105,12,4
106,22,6
107,22,6
108,16,3
109,9,5
110,21,5
111,10,6
112,10,6
113,9,5
114,10,6
115,20,6
116,8,6
117,7,4
118,15,6
119,16,5
120,23,7
121,21,6
122,12,1
123,1,7
124,9,3
125,6,4
126,21,5
127,9,1
128,19,5
129,8,3
130,12,2
131,18,3
132,18,7
133,18,6
134,15,3
135,21,5
136,9,6
137,19,5
138,11,4
139,9,7
140,17,4
141,10,2
142,99,3
143,18,4
144,14,5
145,13,4
146,22,5
147,7,4
148,19,7
149,8,3
150,10,1
151,17,4
152,7,3
153,20,2
154,16,4
155,12,6
156,19,7
157,15,7
158,10,3
159,6,3
160,1,4
161,18,4
162,9,1
163,5,2
164,7,4
165,14,4
166,10,2
167,21,4
168,15,6
169,4,6
170,12,1
171,21,5
172,18,7
173,20,5
174,15,7
175,14,3
176,11,4
177,12,4
178,21,5
179,11,6
180,23,3
181,18,7
182,9,3
183,9,3
184,6,5
185,6,5
186,16,5
187,12,7
188,12,2
189,13,5
190,16,7
191,8,5
192,9,7
193,16,2
194,11,5
195,15,3
196,5,3
197,9,6
198,12,6
199,18,1
200,7,6
201,10,7
202,15,7
203,9,5
204,15,1
205,8,7
206,15,6
207,6,6
208,10,3
209,10,3
210,7,4
211,7,4
212,13,6
213,16,1
214,20,6
215,20,6
216,19,3
217,6,4
218,15,3
219,12,1
220,15,4
221,10,4
222,21,3
223,13,4
224,13,4
225,7,1
226,8,4
227,9,5
228,20,7
229,12,6
230,19,7
231,15,6
232,20,7
233,12,6
234,6,5
235,8,4
236,11,4
237,0,2
238,0,1
239,16,2
240,16,2
241,19,2
242,19,2
243,22,2
244,23,3
245,17,4
246,7,7
247,12,7
248,17,6
249,4,6
250,15,2
251,16,2
252,14,3
253,23,3
254,14,4
255,18,7
256,8,6
257,10,6
258,10,5
259,18,2
260,21,2
261,11,3
262,7,3
263,12,4
264,4,5
265,18,7
266,22,3
267,4,1
268,11,1
269,12,7
270,19,3
271,18,5
272,8,5
273,2,5
274,15,5
275,15,5
276,14,3
277,12,7
278,0,7
279,12,2
280,6,4
281,14,4
282,11,2
283,18,5
284,7,6
285,9,2
286,17,3
