,acchr,dayofweek
0,8,2
1,19,6
2,17,1
3,18,4
4,13,2
5,18,7
6,0,1
7,14,6
8,15,2
9,0,4
10,5,6
11,23,5
12,5,5
13,13,7
14,13,1
15,0,1
16,22,5
17,21,5
18,9,3
19,1,7
20,6,2
21,2,1
22,2,5
23,17,3
24,16,4
25,12,7
26,15,7
27,6,6
28,7,2
29,15,3
30,15,3
31,3,6
32,15,1
33,14,7
34,10,1
35,19,1
36,15,6
37,2,6
38,0,7
39,22,5
40,18,1
41,21,1
42,18,1
43,18,7
44,6,3
45,0,5
46,10,3
47,14,3
48,1,7
49,21,6
50,13,6
51,2,7
52,22,7
53,22,6
54,23,5
55,15,4
56,9,5
57,18,4
58,11,7
59,13,7
60,17,3
61,12,7
62,22,4
63,13,1
64,21,2
65,22,2
66,16,4
67,15,2
68,5,4
69,15,4
70,16,6
71,0,3
72,16,4
73,21,3
74,14,5
75,0,1
76,19,4
77,23,6
78,19,5
79,18,7
80,12,5
81,17,4
82,10,7
83,18,7
84,18,1
85,3,5
86,2,5
87,23,2
88,16,3
89,17,5
90,21,2
91,13,7
92,7,6
93,22,4
94,22,3
95,8,2
96,15,7
97,14,5
98,21,2
99,1,7
100,22,7
101,7,5
102,1,7
103,7,6
104,16,6
105,20,6
106,9,4
107,18,7
108,19,5
109,15,1
110,20,3
111,17,5
112,21,6
113,13,4
114,14,1
115,4,6
116,13,1
117,14,1
118,21,5
119,21,3
120,11,3
121,11,6
122,20,7
123,5,4
124,21,2
125,0,5
126,14,2
127,17,6
128,15,4
129,12,5
130,21,2
131,16,4
132,19,3
133,1,7
134,11,4
135,20,4
136,23,2
137,15,2
138,0,7
139,21,1
140,12,3
141,11,7
142,17,7
143,16,4
144,6,5
145,11,7
146,11,7
147,19,5
148,14,4
149,0,7
150,15,6
151,18,4
152,22,1
153,14,2
154,21,1
155,6,5
156,7,2
157,10,6
158,17,5
159,8,2
160,20,3
161,18,6
162,20,2
163,17,2
164,22,1
165,9,4
166,20,7
167,16,7
168,5,7
169,1,4
170,15,7
171,22,4
172,19,1
173,3,5
174,20,1
175,23,7
176,0,7
177,15,6
178,19,2
179,17,6
180,15,6
