,acchr,dayofweek
0,8,2
1,19,6
2,0,4
3,5,6
4,15,3
5,18,2
6,9,3
7,14,3
8,2,5
9,15,7
10,6,6
11,12,5
12,7,2
13,14,6
14,11,6
15,15,3
16,16,5
17,3,6
18,15,1
19,14,7
20,10,1
21,2,2
22,17,1
23,19,1
24,8,4
25,15,6
26,2,3
27,2,6
28,2,7
29,0,7
30,14,4
31,22,5
32,23,2
33,18,1
34,20,1
35,21,1
36,18,1
37,18,7
38,17,3
39,6,3
40,0,5
41,10,3
42,1,7
43,19,5
44,22,7
45,19,7
46,20,3
47,14,3
48,1,7
49,13,6
50,2,7
51,22,7
52,18,4
53,1,1
54,18,4
55,8,5
56,14,7
57,9,5
58,18,4
59,22,7
60,12,7
61,20,5
62,0,1
63,13,1
64,18,1
65,21,2
66,22,2
67,19,2
68,15,4
69,12,1
70,16,6
71,15,2
72,0,3
73,16,4
74,15,7
75,0,1
76,18,7
77,12,5
78,14,3
79,10,7
80,21,5
81,0,6
82,18,1
83,18,4
84,22,6
85,20,2
86,16,5
87,2,5
88,23,2
89,16,3
90,22,6
91,17,5
92,13,5
93,13,7
94,13,7
95,7,6
96,22,4
97,22,3
98,8,2
99,20,7
100,16,5
101,1,7
102,19,5
103,15,1
104,20,3
105,15,7
106,21,6
107,17,5
108,21,6
109,13,4
110,14,1
111,4,6
112,13,1
113,2,6
114,14,1
115,21,3
116,21,7
117,11,3
118,21,2
119,0,5
120,15,4
121,12,5
122,21,2
123,16,4
124,22,4
125,19,3
126,18,7
127,1,7
128,11,4
129,23,2
130,15,2
131,0,7
132,6,2
133,15,4
134,12,7
135,22,3
136,13,1
137,11,3
138,6,5
139,11,7
140,16,4
141,0,7
142,13,2
143,12,1
144,13,1
145,15,6
146,18,4
147,15,6
148,21,5
149,22,1
150,14,2
151,21,1
152,6,5
153,13,1
154,7,2
155,19,7
156,1,1
157,10,6
158,10,6
159,14,3
160,21,6
161,16,2
162,17,5
163,2,6
164,19,4
165,20,1
166,23,7
167,0,7
168,15,6
169,19,1
170,19,6
171,19,2
172,17,6
173,17,6
174,7,2
175,20,7
176,9,1
177,11,7
178,16,1
179,19,1
180,15,4
